parent_id,child_id,link_type,evidence
form:menu_azi000,form:elenco,OPENS_FORM,menu_azi000.scx
form:menu_azi000,form:formconf,OPENS_FORM,menu_azi000.scx
form:menu_azi000,form:pjpwd,OPENS_FORM,menu_azi000.scx
form:menu_azi000,prg:browseview,CALLS_PRG,menu_azi000.scx
form:menu_azi000,prg:checkdocumenti,CALLS_PRG,menu_azi000.scx
form:menu_azi000,prg:creazweb,CALLS_PRG,menu_azi000.scx
form:menu_azi000,web:Analisi DEEP di tutti i parametri esposti → catalogo src/main/resources/parametri/parametri_aziendali_catalog.csv (841 righe: 622 ALTA / 66 MEDIA / 153 INCERTO incluse 98 colonne assenti nel DB Impresind) + viewer read-only GET /parametri-aziendali,MIGRATED_TO,tracker: Form1
form:menu_azi000,web:Documentato nel README del catalogo come chiave di lettura; il viewer legge i valori direttamente dalle tabelle (SELECT TOP 1 * metadata-driven),MIGRATED_TO,tracker: AQUADOCU
form:menu_ban000,form:elenco,OPENS_FORM,menu_ban000.scx
form:menu_ban000,form:formconf,OPENS_FORM,menu_ban000.scx
form:menu_ban000,web:Consultazione: templates banche/list+detail; endpoint GET /banche (ABI/CAB/CIN/IBAN/SWIFT),MIGRATED_TO,tracker: Form1
form:menu_banannu,form:elenco,OPENS_FORM,menu_banannu.scx
form:menu_banannu,prg:browseview,CALLS_PRG,menu_banannu.scx
form:menu_bcl000,form:artnew,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:bclselartdiba,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:bol000_qtamodi,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:dati_artprod,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:dati_bobped,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:dati_colla,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:desnew,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:elenco,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:email,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:pedposelr,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:sottoriga_art,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:tagcol00,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,form:valo000,OPENS_FORM,menu_bcl000.scx
form:menu_bcl000,prg:bolstam,CALLS_PRG,menu_bcl000.scx
form:menu_bcl000,prg:browseview,CALLS_PRG,menu_bcl000.scx
form:menu_bcl000,prg:browseview_bckc,CALLS_PRG,menu_bcl000.scx
form:menu_bcl000,prg:menusta1,CALLS_PRG,menu_bcl000.scx
form:menu_bcl000,prg:nullo,CALLS_PRG,menu_bcl000.scx
form:menu_bclannu,form:elenco,OPENS_FORM,menu_bclannu.scx
form:menu_bclannu,prg:browseview,CALLS_PRG,menu_bclannu.scx
form:menu_bclflgs,form:elenco,OPENS_FORM,menu_bclflgs.scx
form:menu_bclflgs,prg:browseview,CALLS_PRG,menu_bclflgs.scx
form:menu_bcltoorf,form:menu_ristampa_doc,OPENS_FORM,menu_bcltoorf.scx
form:menu_bcltoorf,prg:browseview,CALLS_PRG,menu_bcltoorf.scx
form:menu_bdgdupl,form:bdgdupl_sel,OPENS_FORM,menu_bdgdupl.scx
form:menu_bdgdupl,prg:browseview,CALLS_PRG,menu_bdgdupl.scx
form:menu_bfo000,form:bfoposelrlec,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:bfoposelrleg,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:bfoselserial,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:bfoselserial_bg,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:cconew,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:dati_bob,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:dati_bob_carte_grezze,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:dati_carte,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:dati_colla,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:dati_fiscale,OPENS_FORM,menu_bfo000.scx
