object_id,file,object_type,name,description,new_location
form:graf_bar,form/graf_bar.scx,FORM,graf_bar,,
form:gridconf,form/gridconf.scx,FORM,gridconf,,
form:help_annucf,form/help_annucf.scx,FORM,help_annucf,,
form:help_esen_cli,form/help_esen_cli.scx,FORM,help_esen_cli,,
form:help_esen_for,form/help_esen_for.scx,FORM,help_esen_for,,
form:help_estrcont,form/help_estrcont.scx,FORM,help_estrcont,,
form:help_listini,form/help_listini.scx,FORM,help_listini,,
form:help_scadenz,form/help_scadenz.scx,FORM,help_scadenz,,
form:help_slowmoving,form/help_slowmoving.scx,FORM,help_slowmoving,,
form:help_statoordini,form/help_statoordini.scx,FORM,help_statoordini,,
form:import_parcelle_gil_seldate,form/import_parcelle_gil_seldate.scx,FORM,import_parcelle_gil_seldate,,
form:importa_anagrafica_articoli,form/importa_anagrafica_articoli.scx,FORM,importa_anagrafica_articoli,,
form:infover,form/infover.scx,FORM,infover,,
form:insert_articoli_doc,form/insert_articoli_doc.scx,FORM,insert_articoli_doc,,
form:insert_new_u_lis_ts_sel_dati,form/insert_new_u_lis_ts_sel_dati.scx,FORM,insert_new_u_lis_ts_sel_dati,,
form:intrastat_controllo_dati_interchange,form/intrastat_controllo_dati_interchange.scx,FORM,intrastat_controllo_dati_interchange,Controllo e modifica dei movimenti contabili intrastat,
form:intrastat_controllo_dati_test,form/intrastat_controllo_dati_test.scx,FORM,intrastat_controllo_dati_test,,
form:intrastat_controllo_incongruenze,form/intrastat_controllo_incongruenze.scx,FORM,intrastat_controllo_incongruenze,Controllo  incrociati intrastat/aliquote iva,
form:intrastat_crea_file_interchange,form/intrastat_crea_file_interchange.scx,FORM,intrastat_crea_file_interchange,Creazione file intrastat,
form:intrastat_dati_aziendali,form/intrastat_dati_aziendali.scx,FORM,intrastat_dati_aziendali,,
form:intrastat_rettifiche,form/intrastat_rettifiche.scx,FORM,intrastat_rettifiche,,
form:intrastat_stampa_allegati,form/intrastat_stampa_allegati.scx,FORM,intrastat_stampa_allegati,,
form:legaart,form/legaart.scx,FORM,legaart,,
form:legacco,form/legacco.scx,FORM,legacco,,
form:legame_nazioni_unico,form/legame_nazioni_unico.scx,FORM,legame_nazioni_unico,,
form:legapdcc,form/legapdcc.scx,FORM,legapdcc,,
form:legdrice,form/legdrice.scx,FORM,legdrice,,
form:legdsta,form/legdsta.scx,FORM,legdsta,,
form:lis_tt_gest,form/lis_tt_gest.scx,FORM,lis_tt_gest,,
form:log000,form/log000.scx,FORM,log000,,
form:log_trasmcnt,form/log_trasmcnt.scx,FORM,log_trasmcnt,,
form:logflag,form/logflag.scx,FORM,logflag,,
form:logr000,form/logr000.scx,FORM,logr000,,
form:logrflag,form/logrflag.scx,FORM,logrflag,,
form:logrsfol,form/logrsfol.scx,FORM,logrsfol,,
form:logrstam,form/logrstam.scx,FORM,logrstam,,
form:logsfol,form/logsfol.scx,FORM,logsfol,,
form:mag_inventario,form/mag_inventario.scx,FORM,mag_inventario,Inventario giacenze magazzino,
form:mag_inventario_conf,form/mag_inventario_conf.scx,FORM,mag_inventario_conf,Conferma inventario,
form:mag_inventario_conf_dett,form/mag_inventario_conf_dett.scx,FORM,mag_inventario_conf_dett,,
form:mag_inventario_edit_altro,form/mag_inventario_edit_altro.scx,FORM,mag_inventario_edit_altro,,
form:mag_inventario_edit_bob,form/mag_inventario_edit_bob.scx,FORM,mag_inventario_edit_bob,,
form:mag_inventario_edit_cim,form/mag_inventario_edit_cim.scx,FORM,mag_inventario_edit_cim,,
form:mag_inventario_edit_lgn,form/mag_inventario_edit_lgn.scx,FORM,mag_inventario_edit_lgn,,
form:mag_inventario_edit_man,form/mag_inventario_edit_man.scx,FORM,mag_inventario_edit_man,,
form:mag_inventario_new_altro,form/mag_inventario_new_altro.scx,FORM,mag_inventario_new_altro,,
form:mag_inventario_new_bob,form/mag_inventario_new_bob.scx,FORM,mag_inventario_new_bob,,
form:mag_inventario_new_cgr,form/mag_inventario_new_cgr.scx,FORM,mag_inventario_new_cgr,,
form:mag_inventario_new_cim,form/mag_inventario_new_cim.scx,FORM,mag_inventario_new_cim,,
form:mag_inventario_new_lgn,form/mag_inventario_new_lgn.scx,FORM,mag_inventario_new_lgn,,
form:mag_inventario_new_lgn_dati_legno,form/mag_inventario_new_lgn_dati_legno.scx,FORM,mag_inventario_new_lgn_dati_legno,,
form:mag_inventario_new_man,form/mag_inventario_new_man.scx,FORM,mag_inventario_new_man,,
form:mag_inventario_new_xls,form/mag_inventario_new_xls.scx,FORM,mag_inventario_new_xls,,
form:mag_inventario_sel_giacenze,form/mag_inventario_sel_giacenze.scx,FORM,mag_inventario_sel_giacenze,,
form:mag_inventario_sta,form/mag_inventario_sta.scx,FORM,mag_inventario_sta,Consultazione inventario,
form:magaflag2_det,form/magaflag2_det.scx,FORM,magaflag2_det,,
form:magaflag2_det_gia,form/magaflag2_det_gia.scx,FORM,magaflag2_det_gia,,
form:magaflag2_mov,form/magaflag2_mov.scx,FORM,magaflag2_mov,,
form:magaflag2_sta,form/magaflag2_sta.scx,FORM,magaflag2_sta,,
form:magaflag3_cstagg,form/magaflag3_cstagg.scx,FORM,magaflag3_cstagg,,
form:magaflag3_det,form/magaflag3_det.scx,FORM,magaflag3_det,,
form:magaflag3_movsta,form/magaflag3_movsta.scx,FORM,magaflag3_movsta,,
form:magimper,form/magimper.scx,FORM,magimper,,
form:maglog_gui,form/maglog_gui.scx,FORM,maglog_gui,,
form:maglog_gui_fil,form/maglog_gui_fil.scx,FORM,maglog_gui_fil,,
form:maglog_gui_sta,form/maglog_gui_sta.scx,FORM,maglog_gui_sta,,
form:maglog_newfil,form/maglog_newfil.scx,FORM,maglog_newfil,,
form:maglog_newpia,form/maglog_newpia.scx,FORM,maglog_newpia,,
form:manu_impianti,form/manu_impianti.scx,FORM,manu_impianti,,
form:menu000,form/menu000.scx,FORM,menu000,Gestione della tabella dei menù,
form:menu_abbina_incassi,form/menu_abbina_incassi.scx,FORM,menu_abbina_incassi,,
form:menu_age000,form/menu_age000.scx,FORM,menu_age000,Gestione agenti / depositi,Consultazione: templates agenti/list+detail; endpoint GET /agenti
form:menu_ageannu,form/menu_ageannu.scx,FORM,menu_ageannu,Annullo anagrafica agente,
form:menu_ageelen,form/menu_ageelen.scx,FORM,menu_ageelen,Elenco clienti per agente,
form:menu_agg_conti_codces,form/menu_agg_conti_codces.scx,FORM,menu_agg_conti_codces,Legame tra movimento contabile e anagrafica cespite,
